Subfamily	Genus	Species	Subspecies	Current valid name
Agroecomyrmecinae	Tatuidris	kapasi		Tatuidris tatusia
Amblyoponinae	Amblyopone	australis	fortis	Amblyopone australis
Amblyoponinae	Amblyopone	australis	foveolata	Amblyopone australis
Amblyoponinae	Amblyopone	cephalotes	maculata	Amblyopone australis
Amblyoponinae	Amblyopone	cephalotes		Amblyopone australis
Amblyoponinae	Amblyopone	laevidens		Amblyopone australis
Amblyoponinae	Amblyopone	minor		Amblyopone australis
Amblyoponinae	Amblyopone	nana		Amblyopone australis
Amblyoponinae	Amblyopone	obscura		Amblyopone australis
Amblyoponinae	Myopopone	beccarii		Myopopone castanea
Amblyoponinae	Myopopone	castanea	bakeri	Myopopone castanea
Amblyoponinae	Myopopone	castanea	bugnioni	Myopopone castanea
Amblyoponinae	Myopopone	castanea	proxima	Myopopone castanea
Amblyoponinae	Myopopone	maculata		Myopopone castanea
Amblyoponinae	Myopopone	moelleri	striatifrons	Myopopone castanea
Amblyoponinae	Myopopone	moelleri		Myopopone castanea
Amblyoponinae	Myopopone	picea		Myopopone castanea
Amblyoponinae	Myopopone	rossi		Myopopone castanea
Amblyoponinae	Myopopone	rufula		Myopopone castanea
Amblyoponinae	Myopopone	similis		Myopopone castanea
Amblyoponinae	Myopopone	smithi		Myopopone castanea
Amblyoponinae	Myopopone	wollastoni		Myopopone castanea
Amblyoponinae	Mystrium	camillae	javana	Mystrium camillae
Amblyoponinae	Mystrium	fallax		Mystrium voeltzkowi
Amblyoponinae	Mystrium	oculatum		Mystrium camillae
Amblyoponinae	Mystrium	stadelmanni		Mystrium mysticum
Amblyoponinae	Prionopelta	bruchi		Prionopelta punctulata
Amblyoponinae	Prionopelta	churchilli		Prionopelta majuscula
Amblyoponinae	Prionopelta	mayri		Prionopelta punctulata
Amblyoponinae	Prionopelta	mocsaryi		Prionopelta opaca
Amblyoponinae	Prionopelta	poultoni		Prionopelta majuscula
Amblyoponinae	Prionopelta	simillima		Prionopelta majuscula
Amblyoponinae	Prionopelta	testacea		Prionopelta majuscula
Amblyoponinae	Stigmatomma	binodosus		Stigmatomma pallipes
Amblyoponinae	Stigmatomma	bruni	juergi	Stigmatomma bruni
Amblyoponinae	Stigmatomma	denticulatum	gracilicornis	Stigmatomma denticulatum
Amblyoponinae	Stigmatomma	elongata	barretoi	Stigmatomma elongatum
Amblyoponinae	Stigmatomma	elongata	minor	Stigmatomma elongatum
Amblyoponinae	Stigmatomma	elongatum	paranense	Stigmatomma elongatum
Amblyoponinae	Stigmatomma	gheorghieffi		Stigmatomma denticulatum
Amblyoponinae	Stigmatomma	mandibularis		Stigmatomma ferrugineum
Amblyoponinae	Stigmatomma	pallipes	arizonense	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	pallipes	montigena	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	pallipes	subterranea	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	pallipes	wheeleri	Stigmatomma pallipes
Amblyoponinae	Stigmatomma	serratum		Stigmatomma pallipes
Amblyoponinae	Stigmatomma	tropicalis		Stigmatomma orizabanum
Amblyoponinae	Stigmatomma	williamsi		Stigmatomma luzonicum
Aneuretinae	Aneuretus	butteli		Aneuretus simoni
Dolichoderinae	Anonychomyrma	foetans		Anonychomyrma biconvexa
Dolichoderinae	Axinidris	parvus		Axinidris hypoclinoides
Dolichoderinae	Azteca	alfari	aequalis	Azteca ovaticeps
Dolichoderinae	Azteca	alfari	aequilata	Azteca ovaticeps
Dolichoderinae	Azteca	alfari	argentina	Azteca alfari
Dolichoderinae	Azteca	alfari	cecropiae	Azteca alfari
Dolichoderinae	Azteca	alfari	curtiscapa	Azteca alfari
Dolichoderinae	Azteca	alfari	langi	Azteca alfari
Dolichoderinae	Azteca	alfari	mixta	Azteca alfari
Dolichoderinae	Azteca	alfari	tuberosa	Azteca ovaticeps
Dolichoderinae	Azteca	alfaroi	fumaticeps	Azteca alfari
Dolichoderinae	Azteca	alfaroi	lucidula	Azteca alfari
Dolichoderinae	Azteca	bicolor		Azteca alfari
Dolichoderinae	Azteca	championi	breviscapa	Azteca alfari
Dolichoderinae	Azteca	chartifex	laticeps	Azteca chartifex
Dolichoderinae	Azteca	coeruleipennis	fasciata	Azteca velox
Dolichoderinae	Azteca	eiseni		Azteca forelii
Dolichoderinae	Azteca	emmae		Azteca constructor
Dolichoderinae	Azteca	fasciata	laeta	Azteca beltii
Dolichoderinae	Azteca	festai		Azteca trigona
Dolichoderinae	Azteca	fiebrigi		Azteca schimperi
Dolichoderinae	Azteca	foreli	championi	Azteca forelii
Dolichoderinae	Azteca	foreli	raptrix	Azteca forelii
Dolichoderinae	Azteca	foreli	ursina	Azteca forelii
Dolichoderinae	Azteca	foreli	xysticola	Azteca forelii
Dolichoderinae	Azteca	guianae		Azteca constructor
Dolichoderinae	Azteca	instabilis	major	Azteca instabilis
Dolichoderinae	Azteca	instabilis	mexicana	Azteca sericea
Dolichoderinae	Azteca	lacrymosa	silvae	Azteca aurita
Dolichoderinae	Azteca	lacrymosa		Azteca pilosula
Dolichoderinae	Azteca	lanuginosa	clariceps	Azteca schimperi
Dolichoderinae	Azteca	lanuginosa	pruinosa	Azteca lallemandi
Dolichoderinae	Azteca	longiceps	patruelis	Azteca pittieri
Dolichoderinae	Azteca	lynchi		Azteca alfari
