Count	SpecimenCode	Subfamily	Genus	SpeciesGroup	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm2	Adm1	Adm1check	ISO_3166	Country	Elevation	LatDeg	LatMin	NS	LonDeg	LonMin	EW	LocLatitude	LocLongitude	LatLonMaxError	BiogeographicRegion	LocalityNotes	ElevationMaxError	Blank
1	CASENT0106322	Myrmicinae	Gauromyrmex		MY01	1aq	pin	Ant AToL voucher		UCDC	UCDC		Ward, P. S.	2013-09-01	PSW16444-07	Ward, P. S.	2010-08-20		at light	rainforest edge	at light		Danum Valley Field Centre		Sabah	1	MY	Malaysia	190 m							4.96478	117.80465	3 m	Indomalaya	From PSW field notes: Edge of dipterocarp lowland rainforest, by the field centre lab. GPS reading: 4.96478Â°N 117.80465Â°E. Extent: Â±3m (measurement error).		
2	CASENT0106323	Myrmicinae	Monomorium		PG02	1w	pin	Ant AToL voucher; formerly identified as "Myrmicine_genus30 PG01"		UCDC	UCDC		Ward, P. S.	2014-06-06	ML10442	Leponce, M.	2012-10-30		canopy bait				28 km E Mt. Wilhelm		Madang	1	PG	Papua New Guinea	1200 m							-5.72102	145.27030		Australasia			
3	CASENT0106324	Formicinae	Camponotus		philippinensis_cf	1w	pin	Ant AToL voucher. Formerly Forelophilus philippinensis_cf.		UCDC	UCDC		Ward, P. S.	2013-09-01	ANTC11135	General, D. M.	2013-05-15			mangrove forest			Puerto Princesa, Iwahig River		Palawan	1	PH	Philippines		9	44.052	N	118	40.967	E	9.73420	118.68278		Indomalaya			
4	CASENT0220594	Myrmicinae	Vollenhovia		PG01	1w	pin	Formerly identified as "Myrmicine_genus31 PG01"		UCDC	UCDC		Ward, P. S.	2014-06-06	PSW04469	Ward, P. S.	1980-06-16			montane rainforest	on low vegetation		7 km SW Bundi		Madang	1	PG	Papua New Guinea	2000 m	5	47	S	145	11	E	-5.78333	145.18333	1 minute	Australasia	From PSW field notes: Just below Bononi, 2000m, in (mostly) second-growth montane rainforest, with areas of kunai.		
5	CASENT0220595	Pseudomyrmecinae	Pseudomyrmex		psw159	1w	pin			PSWC	PSWC		Ward, P. S.	2013-10-06	Go-D-06-2-03	LLAMA	2011-05-30		beating vegetation	oak cloud forest	on vegetation		9 km NW Jalapa		Nueva Segovia	1	NI	Nicaragua	1410 m							13.97707	-86.18907	100 m	Neotropical			
6	CASENT0220596	Pseudomyrmecinae	Pseudomyrmex		psw159	1w	pin			PSWC	PSWC		Ward, P. S.	2013-10-06	Go-D-06-2-03	LLAMA	2011-05-30		beating vegetation	oak cloud forest	on vegetation		9 km NW Jalapa		Nueva Segovia	1	NI	Nicaragua	1410 m							13.97707	-86.18907	100 m	Neotropical			
7	CASENT0220597	Pseudomyrmecinae	Pseudomyrmex		psw169	1w	pin	Formerly identified as Pseudomyrmex psw053		PSWC	PSWC		Ward, P. S.	2016-00-00	Go-D-01-1-02	LLAMA	2011-05-03		beating vegetation	montane wet forest edge and interior	on vegetation		RN Cerro MusÃºn		Matagalpa	1	NI	Nicaragua	1090 m							12.96966	-85.23341	150 m	Neotropical			
8	CASENT0220598	Pseudomyrmecinae	Pseudomyrmex		psw169	1w	pin	Formerly identified as Pseudomyrmex psw053	DNA voucher; Ward extraction #D1348	UCDC	UCDC		Ward, P. S.	2016-00-00	Go-D-01-1-02	LLAMA	2011-05-03		beating vegetation	montane wet forest edge and interior	on vegetation		RN Cerro MusÃºn		Matagalpa	1	NI	Nicaragua	1090 m							12.96966	-85.23341	150 m	Neotropical			
9	CASENT0220599	Pseudomyrmecinae	Pseudomyrmex		gracilis	1w	pin	unicolored black		PSWC	PSWC		Ward, P. S.	2013-10-06	Ma-D-07-1-01	LLAMA	2011-06-06		Malaise trap	secondary rainforest edge	Malaise trap		RN Kahka Creek		Costa Caribe Sur	1	NI	Nicaragua	40 m							12.66765	-83.72199	20 m	Neotropical			
10	CASENT0220600	Pseudomyrmecinae	Pseudomyrmex		gracilis	1w	pin	bicolored		PSWC	PSWC		Ward, P. S.	2013-10-06	Ma-D-07-1-01	LLAMA	2011-06-06		Malaise trap	secondary rainforest edge	Malaise trap		RN Kahka Creek		Costa Caribe Sur	1	NI	Nicaragua	40 m							12.66765	-83.72199	20 m	Neotropical			
