species group name	protonym	 Author
*gurnetensis	Dolichoderus gurnetensis 	Donisthorpe, 1920: 88
*mammuthus	Haidomyrmodes mammuthus 	Perrichot, et al. 2008: 92
brevicornis	Acanthognathus brevicornis 	Smith, M.R. 1944c: 151 
laevigatus	Acanthognathus laevigatus 	Galvis & Fernández, 2009: 246
lentus	Acanthognathus lentus 	Mann, 1922: 34
ocellatus	Acanthognathus ocellatus 	Mayr, 1887: 579 
rudis	Acanthognathus rudis 	Brown & Kempf, 1969: 100
stipulosus	Acanthognathus stipulosus 	Brown & Kempf, 1969: 104
teledectus	Acanthognathus teledectus 	Brown & Kempf, 1969: 105
basispinosus	Acanthomyrmex basispinosus 	Moffett, 1986c: 67
careoscrobis	Acanthomyrmex careoscrobis 	Moffett, 1986c: 78
concavus	Acanthomyrmex concavus 	Moffett, 1986c: 80
crassispinus	Acanthomyrmex crassispina 	Wheeler, W.M. 1930a: 101
dusun	Acanthomyrmex dusun 	Wheeler, W.M. 1919e: 89 
dyak	Acanthomyrmex dyak 	Wheeler, W.M. 1919e: 86 
ferox	Acanthomyrmex ferox 	Emery, 1893f: 245 
foveolatus	Acanthomyrmex foveolatus 	Moffett, 1986c: 82
glabfemoralis	Acanthomyrmex glabfemoralis 	Zhou & Zheng, 1997a: 47
humilis	Acanthomyrmex humilis 	Eguchi, Bui & Yamane, 2008: 238
luciolae	Acanthomyrmex luciolae 	Emery, 1893f: 245 
malikuli	Acanthomyrmex malikuli 	Jaitrong & Asanok, 2019: 116
mindanao	Acanthomyrmex mindanao 	Moffett, 1986c: 82
minus	Acanthomyrmex minus 	Terayama, Ito & Gobin, 1998: 259
mizunoi	Acanthomyrmex mizunoi 	Jaitrong & Asanok, 2019: 124
notabilis	Pheidole notabilis 	Smith, F. 1860b: 111
padanensis	Acanthomyrmex padanensis 	Terayama, Ito & Gobin, 1998: 257
sulawesiensis	Acanthomyrmex sulawesiensis 	Terayama, Ito & Gobin, 1998: 262
thailandensis	Acanthomyrmex thailandensis 	Terayama, 1995: 551
crassa	Acanthoponera crassa 	Brown, 1958g: 255
goeldii	Acanthoponera goeldii 	Forel, 1912c: 34 
goyana	Acanthoponera goeldii subsp. goyana 	Borgmeier, 1939: 418 
mucronata	Ponera mucronata 	Roger, 1860: 299 
wagneri	Acanthoponera mucronata var. wagneri 	Santschi, 1921g: 84 
arizonensis	Acanthostichus arizonensis 	Mackay, 1996: 141
bentoni	Acanthostichus bentoni 	Mackay, 1996: 143
brevicornis	Acanthostichus brevicornis 	Emery, 1894c: 142 
brevinodis	Acanthostichus brevinodis 	Mackay, 1996: 147
emmae	Acanthostichus emmae 	Mackay, 1996: 148
femoralis	Acanthostichus femoralis 	Kusnezov, 1962a: 126
flexuosus	Acanthostichus flexuosus 	Mackay, 1996: 151
fuscipennis	Acanthostichus fuscipennis 	Emery, 1895j: 752
kirbyi	Acanthostichus kirbyi 	Emery, 1895j: 751
lattkei	Acanthostichus lattkei 	Mackay, 1996: 160
niger	Acanthostichus serratulus var. niger 	Santschi, 1933e: 105 
obscuridens	Acanthostichus laticornis var. obscuridens 	Santschi, 1934c: 23 
punctiscapus	Acanthostichus punctiscapus 	Mackay, 1996: 160
quadratus	Acanthostichus quadratus 	Emery, 1895j: 750
quirozi	Acanthostichus quirozi 	Mackay, 1996: 164
ramosmexiae	Acanthostichus ramosmexiae 	Bruch, 1924b: 260
sanchezorum	Acanthostichus sanchezorum 	Mackay, 1985: 128
serratulus	Typhlopone serratula 	Smith, F. 1858b: 111 
skwarrae	Acanthostichus skwarrae 	Wheeler, W.M. 1934g: 161 
texanus	Acanthostichus texanus 	Forel, 1904d: 168 
townsendi	Ctenopyga townsendi 	Ashmead, 1906: 29
truncatus	Acanthostichus truncatus 	Mackay, 1996: 170
affinis	Acromyrmex aspersus var. affinis 	Santschi, 1925a: 369 
ajax	Atta (Acromyrmex) emilii var. ajax 	Forel, 1909b: 58 
ambiguus	Atta (Acromyrmex) lundi var. ambigua 	Emery, 1888c: 358 
ameliae	Acromyrmex ameliae 	De Souza, Soares & Della Lucia, 2007: 252
andicola	Acromyrmex moelleri subsp. andicola 	Emery, 1924d: 349
angustata	Atta (Acromyrmex) moelleri subsp. panamensis var. angustata 	Forel, 1908b: 41 
aspersus	Oecodoma aspersa 	Smith, F. 1858b: 185
atratus	Acromyrmex hispidus st. atratus 	Santschi, 1925a: 376 
balzani	Atta (Acromyrmex) balzani 	Emery, 1890a: 67 
bigener	Acromyrmex rugosus st. bigener 	Santschi, 1925d: 243 
biscutatus	Formica biscutata 	Fabricius, 1775: 394 
boliviensis	Atta (Acromyrmex) boliviensis 	Emery, 1905c: 51
bonariensis	Atta (Acromyrmex) pubescens var. bonariensis 	Emery, 1905c: 52 
bruchi	Atta (Moellerius) silvestrii r. bruchi 	Forel, 1912e: 180 
brunnea	Atta (Acromyrmex) subterranea var. brunnea 	Forel, 1912e: 181
bucki	Acromyrmex bucki 	Wasmann, 1931: 106 
carli	Acromyrmex lundi subsp. carli 	Gonçalves, 1961: 152
chacoensis	Acromyrmex lundi st. pubescens var. chacoensis 	Santschi, 1916e: 387 
charruanus	Acromyrmex charruanus 	Rabeling, et al. 2015: 338
clarus	Acromyrmex aspersus st. mesonotalis var. clarus 	Santschi, 1925d: 243 
