species group name	protonym	 Author
498: brevicornis	Acanthognathus brevicornis 	Smith, M.R. 1944c: 151 
500: laevigatus	Acanthognathus laevigatus 	Galvis & Fernández, 2009: 246
501: lentus	Acanthognathus lentus 	Mann, 1922: 34
502: ocellatus	Acanthognathus ocellatus 	Mayr, 1887: 579 
504: rudis	Acanthognathus rudis 	Brown & Kempf, 1969: 100
505: stipulosus	Acanthognathus stipulosus 	Brown & Kempf, 1969: 104
506: teledectus	Acanthognathus teledectus 	Brown & Kempf, 1969: 105
509: basispinosus	Acanthomyrmex basispinosus 	Moffett, 1986c: 67
510: careoscrobis	Acanthomyrmex careoscrobis 	Moffett, 1986c: 78
511: concavus	Acanthomyrmex concavus 	Moffett, 1986c: 80
512: crassispinus	Acanthomyrmex crassispina 	Wheeler, W.M. 1930a: 101
513: dusun	Acanthomyrmex dusun 	Wheeler, W.M. 1919e: 89 
514: dyak	Acanthomyrmex dyak 	Wheeler, W.M. 1919e: 86 
515: ferox	Acanthomyrmex ferox 	Emery, 1893f: 245 
516: foveolatus	Acanthomyrmex foveolatus 	Moffett, 1986c: 82
517: glabfemoralis	Acanthomyrmex glabfemoralis 	Zhou & Zheng, 1997a: 47
518: humilis	Acanthomyrmex humilis 	Eguchi, Bui & Yamane, 2008: 238
521: luciolae	Acanthomyrmex luciolae 	Emery, 1893f: 245 
522: malikuli	Acanthomyrmex malikuli 	Jaitrong & Asanok, 2019: 116
523: mindanao	Acanthomyrmex mindanao 	Moffett, 1986c: 82
524: minus	Acanthomyrmex minus 	Terayama, Ito & Gobin, 1998: 259
525: mizunoi	Acanthomyrmex mizunoi 	Jaitrong & Asanok, 2019: 124
526: notabilis	Pheidole notabilis 	Smith, F. 1860b: 111
527: padanensis	Acanthomyrmex padanensis 	Terayama, Ito & Gobin, 1998: 257
528: sulawesiensis	Acanthomyrmex sulawesiensis 	Terayama, Ito & Gobin, 1998: 262
529: thailandensis	Acanthomyrmex thailandensis 	Terayama, 1995: 551
533: crassa	Acanthoponera crassa 	Brown, 1958g: 255
534: goeldii	Acanthoponera goeldii 	Forel, 1912c: 34 
535: goyana	Acanthoponera goeldii subsp. goyana 	Borgmeier, 1939: 418 
538: mucronata	Ponera mucronata 	Roger, 1860: 299 
545: wagneri	Acanthoponera mucronata var. wagneri 	Santschi, 1921g: 84 
548: arizonensis	Acanthostichus arizonensis 	Mackay, 1996: 141
549: bentoni	Acanthostichus bentoni 	Mackay, 1996: 143
550: brevicornis	Acanthostichus brevicornis 	Emery, 1894c: 142 
551: brevinodis	Acanthostichus brevinodis 	Mackay, 1996: 147
554: emmae	Acanthostichus emmae 	Mackay, 1996: 148
555: femoralis	Acanthostichus femoralis 	Kusnezov, 1962a: 126
556: flexuosus	Acanthostichus flexuosus 	Mackay, 1996: 151
557: fuscipennis	Acanthostichus fuscipennis 	Emery, 1895j: 752
559: kirbyi	Acanthostichus kirbyi 	Emery, 1895j: 751
562: lattkei	Acanthostichus lattkei 	Mackay, 1996: 160
563: niger	Acanthostichus serratulus var. niger 	Santschi, 1933e: 105 
564: obscuridens	Acanthostichus laticornis var. obscuridens 	Santschi, 1934c: 23 
565: punctiscapus	Acanthostichus punctiscapus 	Mackay, 1996: 160
566: quadratus	Acanthostichus quadratus 	Emery, 1895j: 750
567: quirozi	Acanthostichus quirozi 	Mackay, 1996: 164
568: ramosmexiae	Acanthostichus ramosmexiae 	Bruch, 1924b: 260
569: sanchezorum	Acanthostichus sanchezorum 	Mackay, 1985: 128
570: serratulus	Typhlopone serratula 	Smith, F. 1858b: 111 
571: skwarrae	Acanthostichus skwarrae 	Wheeler, W.M. 1934g: 161 
572: texanus	Acanthostichus texanus 	Forel, 1904d: 168 
574: townsendi	Ctenopyga townsendi 	Ashmead, 1906: 29
575: truncatus	Acanthostichus truncatus 	Mackay, 1996: 170
578: affinis	Acromyrmex aspersus var. affinis 	Santschi, 1925a: 369 
579: ajax	Atta (	Acromyrmex) emilii var. ajax Forel, 1909b: 58 
580: ambiguus	Atta (	Acromyrmex) lundi var. ambigua Emery, 1888c: 358 
581: ameliae	Acromyrmex ameliae 	De Souza, Soares & Della Lucia, 2007: 252
582: andicola	Acromyrmex moelleri subsp. andicola 	Emery, 1924d: 349
583: angustata	Atta (	Acromyrmex) moelleri subsp. panamensis var. angustata Forel, 1908b: 41 
584: aspersus	Oecodoma aspersa 	Smith, F. 1858b: 185
586: atratus	Acromyrmex hispidus st. atratus 	Santschi, 1925a: 376 
587: balzani	Atta (	Acromyrmex) balzani Emery, 1890a: 67 
588: bigener	Acromyrmex rugosus st. bigener 	Santschi, 1925d: 243 
589: biscutatus	Formica biscutata 	Fabricius, 1775: 394 
590: boliviensis	Atta (	Acromyrmex) boliviensis Emery, 1905c: 51
592: bonariensis	Atta (	Acromyrmex) pubescens var. bonariensis Emery, 1905c: 52 
593: bruchi	Atta (	Moellerius) silvestrii r. bruchi Forel, 1912e: 180 
594: brunnea	Atta (	Acromyrmex) subterranea var. brunnea Forel, 1912e: 181
595: bucki	Acromyrmex bucki 	Wasmann, 1931: 106 
596: carli	Acromyrmex lundi subsp. carli 	Gonçalves, 1961: 152
598: chacoensis	Acromyrmex lundi st. pubescens var. chacoensis 	Santschi, 1916e: 387 
599: charruanus	Acromyrmex charruanus 	Rabeling, et al. 2015: 338
