Subfamily	Genus	Species	subspecies
Myrmicinae	Acanthognathus	brevicornis	
Myrmicinae	Acanthognathus	laevigatus	
Myrmicinae	Acanthognathus	lentus	
Myrmicinae	Acanthognathus	ocellatus	
Myrmicinae	Acanthognathus	rudis	
Myrmicinae	Acanthognathus	stipulosus	
Myrmicinae	Acanthognathus	teledectus	
Myrmicinae	Acanthomyrmex	basispinosus	
Myrmicinae	Acanthomyrmex	careoscrobis	
Myrmicinae	Acanthomyrmex	concavus	
Myrmicinae	Acanthomyrmex	crassispinus	
Myrmicinae	Acanthomyrmex	dusun	
Myrmicinae	Acanthomyrmex	ferox	
Myrmicinae	Acanthomyrmex	foveolatus	
Myrmicinae	Acanthomyrmex	glabfemoralis	
Myrmicinae	Acanthomyrmex	humilis	
Myrmicinae	Acanthomyrmex	laevis	
Myrmicinae	Acanthomyrmex	luciolae	
Myrmicinae	Acanthomyrmex	mindanao	
Myrmicinae	Acanthomyrmex	minus	
Myrmicinae	Acanthomyrmex	notabilis	
Myrmicinae	Acanthomyrmex	padanensis	
Myrmicinae	Acanthomyrmex	sulawesiensis	
Myrmicinae	Acanthomyrmex	thailandensis	
Heteroponerinae	Acanthoponera	goeldii	
Heteroponerinae	Acanthoponera	minor	
Heteroponerinae	Acanthoponera	mucronata	
Heteroponerinae	Acanthoponera	peruviana	
Dorylinae	Acanthostichus	arizonensis	
Dorylinae	Acanthostichus	bentoni	
Dorylinae	Acanthostichus	brevicornis	
Dorylinae	Acanthostichus	brevinodis	
Dorylinae	Acanthostichus	concavinodis	
Dorylinae	Acanthostichus	davisi	
Dorylinae	Acanthostichus	emmae	
Dorylinae	Acanthostichus	femoralis	
Dorylinae	Acanthostichus	flexuosus	
Dorylinae	Acanthostichus	fuscipennis	
Dorylinae	Acanthostichus	kirbyi	
Dorylinae	Acanthostichus	laevigatus	
Dorylinae	Acanthostichus	laticornis	
Dorylinae	Acanthostichus	lattkei	
Dorylinae	Acanthostichus	longinodis	
Dorylinae	Acanthostichus	punctiscapus	
Dorylinae	Acanthostichus	quadratus	
Dorylinae	Acanthostichus	quirozi	
Dorylinae	Acanthostichus	sanchezorum	
Dorylinae	Acanthostichus	serratulus	
Dorylinae	Acanthostichus	skwarrae	
Dorylinae	Acanthostichus	texanus	
Dorylinae	Acanthostichus	truncatus	
Myrmicinae	Acromyrmex	ambiguus	
Myrmicinae	Acromyrmex	ameliae	
Myrmicinae	Acromyrmex	aspersus	
Myrmicinae	Acromyrmex	aspersus	fuhrmanni
Myrmicinae	Acromyrmex	balzani	
Myrmicinae	Acromyrmex	balzani	multituber
Myrmicinae	Acromyrmex	biscutatus	
Myrmicinae	Acromyrmex	coronatus	
Myrmicinae	Acromyrmex	coronatus	andicola
Myrmicinae	Acromyrmex	coronatus	globoculis
Myrmicinae	Acromyrmex	coronatus	importunus
Myrmicinae	Acromyrmex	coronatus	panamensis
Myrmicinae	Acromyrmex	coronatus	rectispinus
Myrmicinae	Acromyrmex	crassispinus	
Myrmicinae	Acromyrmex	diasi	
Myrmicinae	Acromyrmex	disciger	
Myrmicinae	Acromyrmex	echinatior	
Myrmicinae	Acromyrmex	evenkul	
Myrmicinae	Acromyrmex	fracticornis	
Myrmicinae	Acromyrmex	heyeri	
Myrmicinae	Acromyrmex	hispidus	
Myrmicinae	Acromyrmex	hispidus	fallax
Myrmicinae	Acromyrmex	hispidus	formosus
Myrmicinae	Acromyrmex	hystrix	
Myrmicinae	Acromyrmex	hystrix	ajax
Myrmicinae	Acromyrmex	insinuator	
Myrmicinae	Acromyrmex	landolti	
Myrmicinae	Acromyrmex	landolti	myersi
Myrmicinae	Acromyrmex	laticeps	
Myrmicinae	Acromyrmex	lobicornis	
Myrmicinae	Acromyrmex	lobicornis	cochlearis
Myrmicinae	Acromyrmex	lobicornis	ferrugineus
Myrmicinae	Acromyrmex	lobicornis	pencosensis
Myrmicinae	Acromyrmex	lobicornis	pruinosior
Myrmicinae	Acromyrmex	lundii	
Myrmicinae	Acromyrmex	lundii	boliviensis
Myrmicinae	Acromyrmex	lundii	carli
Myrmicinae	Acromyrmex	lundii	decolor
Myrmicinae	Acromyrmex	lundii	parallelus
Myrmicinae	Acromyrmex	niger	
Myrmicinae	Acromyrmex	nigrosetosus	
Myrmicinae	Acromyrmex	nobilis	
Myrmicinae	Acromyrmex	octospinosus	
Myrmicinae	Acromyrmex	octospinosus	cubanus
Myrmicinae	Acromyrmex	octospinosus	ekchuah
Myrmicinae	Acromyrmex	octospinosus	inti
Myrmicinae	Acromyrmex	pubescens	
Myrmicinae	Acromyrmex	pulvereus	
Myrmicinae	Acromyrmex	rugosus	
Myrmicinae	Acromyrmex	rugosus	rochai
Myrmicinae	Acromyrmex	rugosus	santschii
Myrmicinae	Acromyrmex	silvestrii	
Myrmicinae	Acromyrmex	silvestrii	bruchi
Myrmicinae	Acromyrmex	striatus	
Myrmicinae	Acromyrmex	subterraneus	
Myrmicinae	Acromyrmex	subterraneus	brunneus
Myrmicinae	Acromyrmex	subterraneus	molestans
Myrmicinae	Acromyrmex	subterraneus	ogloblini
Myrmicinae	Acromyrmex	subterraneus	peruvianus
Myrmicinae	Acromyrmex	versicolor	
Myrmicinae	Acromyrmex	versicolor	chisosensis
Myrmicinae	Acromyrmex	volcanus	
Formicinae	Acropyga	acutiventris	
Formicinae	Acropyga	ambigua	
Formicinae	Acropyga	arnoldi	
Formicinae	Acropyga	ayanganna	
Formicinae	Acropyga	bakwele	
Formicinae	Acropyga	butteli	
Formicinae	Acropyga	decedens	
Formicinae	Acropyga	donisthorpei	
Formicinae	Acropyga	dubia	
Formicinae	Acropyga	dubitata	
Formicinae	Acropyga	epedana	
Formicinae	Acropyga	exsanguis	
Formicinae	Acropyga	fuhrmanni	
Formicinae	Acropyga	gelasis	
Formicinae	Acropyga	goeldii	
Formicinae	Acropyga	guianensis	
Formicinae	Acropyga	hirsutula	
Formicinae	Acropyga	hystrix	
Formicinae	Acropyga	inezae	
Formicinae	Acropyga	keira	
Formicinae	Acropyga	kinomurai	
Formicinae	Acropyga	lauta	
Formicinae	Acropyga	major	
Formicinae	Acropyga	myops	
Formicinae	Acropyga	nipponensis	
Formicinae	Acropyga	oceanica	
Formicinae	Acropyga	palaga	
Formicinae	Acropyga	paleartica	
Formicinae	Acropyga	pallida	
Formicinae	Acropyga	panamensis	
Formicinae	Acropyga	parvidens	
Formicinae	Acropyga	romeo	
Formicinae	Acropyga	rubescens	
Formicinae	Acropyga	sauteri	
Formicinae	Acropyga	silvestrii	
Formicinae	Acropyga	smithii	
Formicinae	Acropyga	stenotes	
Formicinae	Acropyga	tricuspis	
Formicinae	Acropyga	yaeyamensis	
Formicinae	Acropyga	yushi	
Myrmicinae	Adelomyrmex	anxiocalor	
Myrmicinae	Adelomyrmex	betoi	
Myrmicinae	Adelomyrmex	biroi	
Myrmicinae	Adelomyrmex	bispeculum	
Myrmicinae	Adelomyrmex	brenesi	
Myrmicinae	Adelomyrmex	coco	
Myrmicinae	Adelomyrmex	costatus	
Myrmicinae	Adelomyrmex	cristiani	
Myrmicinae	Adelomyrmex	dentivagans	
Myrmicinae	Adelomyrmex	foveolatus	
Myrmicinae	Adelomyrmex	grandis	
Myrmicinae	Adelomyrmex	hirsutus	
Myrmicinae	Adelomyrmex	laevigatus	
Myrmicinae	Adelomyrmex	longinoi	
Myrmicinae	Adelomyrmex	mackayi	
Myrmicinae	Adelomyrmex	marginodus	
Myrmicinae	Adelomyrmex	metzabok	
Myrmicinae	Adelomyrmex	micans	
Myrmicinae	Adelomyrmex	microps	
Myrmicinae	Adelomyrmex	minimus	
Myrmicinae	Adelomyrmex	myops	
Myrmicinae	Adelomyrmex	nortenyo	
Myrmicinae	Adelomyrmex	paratristani	
Myrmicinae	Adelomyrmex	quetzal	
Myrmicinae	Adelomyrmex	robustus	
Myrmicinae	Adelomyrmex	samoanus	
Myrmicinae	Adelomyrmex	silvestrii	
Myrmicinae	Adelomyrmex	striatus	
Myrmicinae	Adelomyrmex	tristani	
Myrmicinae	Adelomyrmex	vaderi	
Amblyoponinae	Adetomyrma	aureocuprea	
Amblyoponinae	Adetomyrma	bressleri	
Amblyoponinae	Adetomyrma	caputleae	
Amblyoponinae	Adetomyrma	cassis	
Amblyoponinae	Adetomyrma	caudapinnigera	
Amblyoponinae	Adetomyrma	cilium	
Amblyoponinae	Adetomyrma	clarivida	
Amblyoponinae	Adetomyrma	goblin	
Amblyoponinae	Adetomyrma	venatrix	
Myrmicinae	Adlerzia	froggatti	
Dorylinae	Aenictogiton	attenuatus	
Dorylinae	Aenictogiton	bequaerti	
Dorylinae	Aenictogiton	elongatus	
Dorylinae	Aenictogiton	emeryi	
Dorylinae	Aenictogiton	fossiceps	
Dorylinae	Aenictogiton	schoutedeni	
Dorylinae	Aenictogiton	sulcatus	
Dorylinae	Aenictus	abeillei	
Dorylinae	Aenictus	acerbus	
Dorylinae	Aenictus	aitkenii	
Dorylinae	Aenictus	alluaudi	
Dorylinae	Aenictus	alluaudi	falcifer
Dorylinae	Aenictus	alticola	
Dorylinae	Aenictus	ambiguus	
Dorylinae	Aenictus	anceps	
Dorylinae	Aenictus	annae	
Dorylinae	Aenictus	appressipilosus	
Dorylinae	Aenictus	arabicus	
Dorylinae	Aenictus	aratus	
Dorylinae	Aenictus	artipus	
Dorylinae	Aenictus	arya	
Dorylinae	Aenictus	asantei	
Dorylinae	Aenictus	asperivalvus	
Dorylinae	Aenictus	bakeri	
Dorylinae	Aenictus	baliensis	
Dorylinae	Aenictus	bayoni	
Dorylinae	Aenictus	binghami	
Dorylinae	Aenictus	biroi	
Dorylinae	Aenictus	bobaiensis	
Dorylinae	Aenictus	bodongjaya	
Dorylinae	Aenictus	bottegoi	
Dorylinae	Aenictus	bottegoi	noctivagus
Dorylinae	Aenictus	brazzai	
Dorylinae	Aenictus	breviceps	
Dorylinae	Aenictus	brevicornis	
Dorylinae	Aenictus	brevinodus	
Dorylinae	Aenictus	brevipodus	
Dorylinae	Aenictus	buttelreepeni	
Dorylinae	Aenictus	buttgenbachi	
Dorylinae	Aenictus	camposi	
Dorylinae	Aenictus	carolianus	
Dorylinae	Aenictus	certus	
Dorylinae	Aenictus	ceylonicus	
Dorylinae	Aenictus	changmaianus	
Dorylinae	Aenictus	chapmani	
Dorylinae	Aenictus	clavatus	
Dorylinae	Aenictus	clavatus	atripennis
Dorylinae	Aenictus	clavatus	kanariensis
