Subfamily	Tribe	Genus	Species	Species Author Date	Distribution	Biology	Notes	Introduced	Endemic
Amblyoponinae	Amblyoponini	Amblyopone	pallipes 	(Haldeman 1844)					
Dolichoderinae	Dolichoderini	Dolichoderus	mariae	Forel 1884					
Dolichoderinae	Dolichoderini	Dolichoderus	pustulatus	(Mayr 1886)					
Dolichoderinae	Dolichoderini	Dolichoderus	taschenbergi	(Mayr 1866)					
Dolichoderinae	Dolichoderini	Dorymyrmex	bureni 	(Trager 1988)					
Dolichoderinae	Dolichoderini	Dorymyrmex	flavus	McCook 1879					
Dolichoderinae	Dolichoderini	Dorymyrmex	grandulus	(Forel 1922)					
Dolichoderinae	Dolichoderini	Dorymyrmex	smithi 	Cole 1936					
Dolichoderinae	Dolichoderini	Forelius	mccooki	(McCook 1879)					
Dolichoderinae	Dolichoderini	Forelius	pruinosus	Roger 1863					
Dolichoderinae	Dolichoderini	Linepithema	humile	(Mayr 1868)				I	
Dolichoderinae	Dolichoderini	Tapinoma	melanocephalum	Fabricius 1793				I	
Dolichoderinae	Dolichoderini	Tapinoma	sessile	(Say 1836)					
Ecitoninae	Ecitonini	Neivamyrmex	carolinensis	(Emery 1894)					
Ecitoninae	Ecitonini	Neivamyrmex	nigrescens	(Cresson 1872)					
Ecitoninae	Ecitonini	Neivamyrmex	opacithorax	(Emery 1895)					
Ecitoninae	Ecitonini	Neivamyrmex	pilosus 	(F.Smith 1859)					
Ectatomminae	Ectatommini	Gnamptogenys	triangularis	(Mayr 1887)				I	
Formicinae  	Camponotini	Camponotus	americanus	Mayr 1862					
Formicinae  	Camponotini	Camponotus	caryae	(Fitch 1855)					
Formicinae 	Camponotini	Camponotus	castaneus	(Latreille 1802)					
Formicinae 	Camponotini	Camponotus	chromaiodes	Bolton 2000					
Formicinae  	Camponotini	Camponotus	decipiens	Wheeler 1910					
Formicinae  	Camponotini	Camponotus	discolor	(Buckley 1866)					
Formicinae  	Camponotini	Camponotus	floridanus 	(Buckley 1866)					
Formicinae  	Camponotini	Camponotus	impressus	(Roger 1863)					
Formicinae  	Camponotini	Camponotus	mississippiensis	M.R.Smith 1923					
Formicinae  	Camponotini	Camponotus	nearcticus	Emery 1893					
Formicinae  	Camponotini	Camponotus	obliquus	M.R.Smith 1930					
Formicinae  	Camponotini	Camponotus	pennsylvanicus	(DeGeer 1773					
Formicinae	Camponotini	Camponotus	socius	Roger 1863					
Formicinae 	Camponotini	Camponotus	snellingi	Bolton 1995					
Formicinae  	Camponotini	Camponotus	subbarbatus	Emery 1893					
Formicinae  	Formicini	Formica	biophilica 	Trager 2007					
Formicinae  	Formicini	Formica	dolosa	Wheeler 1912					
Formicinae  	Formicini	Formica	exsectoides	Forel 1862					
Formicinae  	Formicini	Formica	integra	Nylander 1856					
Formicinae  	Formicini	Formica	pallidefulva	Latreille 1802					
Formicinae  	Formicini	Formica	subsericea	Say 1836					
Formicinae  	Formicini	Polyergus	longicornis	M.R.Smith 1947 					
Formicinae  	Formicini	Polyergus	montivagus	Wheeler 1915					
Formicinae  	Lasiini	Lasius	alienus 	(Foerster 1850)					
Formicinae  	Lasiini	Lasius	claviger	(Roger 1862)					
Formicinae  	Lasiini	Lasius	flavus	(Fabricius 1781)					
Formicinae  	Lasiini	Lasius	interjectus	Mayr 1866					
Formicinae  	Lasiini	Lasius	neoniger	Emery 1893					
Formicinae  	Lasiini	Lasius	umbratus	(Nylander 1846)					
Formicinae  	Plagiolepidini	Brachymyrmex	depilis	Emery 1893					
Formicinae	Plagiolepidini	Brachymyrmex	patagonicus	Mayr 1868		See also: MacGown, J. A., J.G. Hill, and M. A. Deyrup. 2007. <a href= mississippi/MacGown2007_Brachymyrmex.pdf target = "_blank"><b> Brachymyrmex patagonicus </b></a>(Hymenoptera: Formicidae), an emerging pest species in the southeastern United States. Florida Entomologist 90: 457-464.		I	
